X,Y,Numero,Nom,MoyenTrans,Altitude,NumeroComm,NomCommune,y_Coord_Es,x_Coord_No
510255,141653,8581935,"Gland, gare sud",Bus,415,5721,Gland,510255.000000000000000,141653.000000000000000
509592,142091,8581927,"Gland, Borgeaud",Bus,430,5721,Gland,509592.000000000000000,142091.000000000000000
509350,141950,8501333,"Gland, Grand-Champ",Bus,431,5721,Gland,509350.000000000000000,141950.000000000000000
531893,156305,8581919,"Bussigny VD, ch. de Bellevue",Bus,450,5624,Bussigny,531893.000000000000000,156305.000000000000000
516050,152500,8570124,"Saubraz, Le Pont",Bus,616,5437,Saubraz,516050.000000000000000,152500.000000000000000
509440,141493,8519356,Gland Ballasti?re,CheminFer,420,5721,Gland,509440.000000000000000,141493.000000000000000
545497,166029,8570175,"Villars-Mendraz, Praz-Longet",Bus,800,5804,Jorat-Menthue,545497.000000000000000,166029.000000000000000
557908,144478,8579203,"Chailly-Montreux, Saussaz",Bus,454,5886,Montreux,557908.000000000000000,144478.000000000000000
526263,173884,8579956,"Bretonni?res, centre",Bus,681,5748,Bretonni?res,526263.000000000000000,173884.000000000000000
560710,141791,8530029,Cotterd-Le Flon TMF,Funiculaire,508,5886,Montreux,560710.000000000000000,141791.000000000000000
540564,187016,8504989,"Champagne, coll?ge",Bus,457,5553,Champagne,540564.000000000000000,187016.000000000000000
526363,153476,8504655,"Monnaz, village",Bus,485,5634,Echichens,526363.000000000000000,153476.000000000000000
536637,152009,8591983,"Lausanne, Bateli?re",Bus,406,5586,Lausanne,536637.000000000000000,152009.000000000000000
505020,137418,8516946,Eysins (embr),CheminFer,435,5716,Eysins,505020.000000000000000,137418.000000000000000
573097,127880,8530046,La Rasse TLRC,Telepherique,1347,5409,Ollon,573097.000000000000000,127880.000000000000000
521325,148075,8577562,"Etoy, En Folliar",Bus,422,5636,Etoy,521325.000000000000000,148075.000000000000000
559459,142382,8593931,"Montreux, La Paix",Bus,385,5886,Montreux,559459.000000000000000,142382.000000000000000
539301,152823,8591978,"Lausanne, Alli?res",Bus,571,5586,Lausanne,539301.000000000000000,152823.000000000000000
538458,151843,8591979,"Lausanne, Alpes",Bus,462,5586,Lausanne,538458.000000000000000,151843.000000000000000
537827,153699,8592003,"Lausanne, casernes",Bus,570,5586,Lausanne,537827.000000000000000,153699.000000000000000
539425,151786,8592012,"Lausanne, chemin du Cap",Bus,468,5586,Lausanne,539425.000000000000000,151786.000000000000000
566221,128053,8570609,Plan-d'Essert,Bus,647,5409,Ollon,566221.000000000000000,128053.000000000000000
535630,152359,8591995,"Lausanne, Bois de Vaux",Bus,600,5586,Lausanne,535630.000000000000000,152359.000000000000000
537467,153306,8591984,"Lausanne, Beaulieu",Bus,539,5586,Lausanne,537467.000000000000000,153306.000000000000000
582760,132113,8530590,Cabane-des-Diablerets,Telepherique,2517,5411,Ormont-Dessus,582760.000000000000000,132113.000000000000000
539741,152716,8593830,"Lausanne, Champ-Soleil",Bus,552,5586,Lausanne,539741.000000000000000,152716.000000000000000
538406,153084,8591982,"Lausanne, Barre",Bus,542,5586,Lausanne,538406.000000000000000,153084.000000000000000
536805,152071,8592075,"Lausanne, Mont d'Or",Bus,425,5586,Lausanne,536805.000000000000000,152071.000000000000000
542689,155810,8587547,"Lausanne, Chalet ? Matthey",Bus,809,5586,Lausanne,542689.000000000000000,155810.000000000000000
536962,152509,8591990,"Lausanne, Belv?d?re",Bus,458,5586,Lausanne,536962.000000000000000,152509.000000000000000
543330,157641,8592006,"Lausanne, Chalet-Fontaine",Bus,871,5586,Lausanne,543330.000000000000000,157641.000000000000000
531081,166954,8570140,"Ecl?pens, Cinq-Sous",Bus,453,5482,Ecl?pens,531081.000000000000000,166954.000000000000000
536113,152075,8593837,"Lausanne, Maladi?re-Figuiers",Bus,385,5586,Lausanne,536113.000000000000000,152075.000000000000000
536057,151995,8593838,"Lausanne, Maladi?re-Lac",Bus,380,5586,Lausanne,536057.000000000000000,151995.000000000000000
542517,157305,8592070,"Lausanne, Mauvernay",Bus,858,5586,Lausanne,542517.000000000000000,157305.000000000000000
538073,154755,8595004,"Lausanne, Entre-Bois",Bus,596,5586,Lausanne,538073.000000000000000,154755.000000000000000
538079,151784,8592079,"Lausanne, Mont-Fleuri",Bus,432,5586,Lausanne,538079.000000000000000,151784.000000000000000
539048,151780,8592123,"Lausanne, Trabandan",Bus,460,5586,Lausanne,539048.000000000000000,151780.000000000000000
536871,151918,8592110,"Lausanne, Riant-Cour",Bus,412,5586,Lausanne,536871.000000000000000,151918.000000000000000
542796,157342,8587929,"Lausanne, Chalet-?-Gobet",Bus,861,5586,Lausanne,542796.000000000000000,157342.000000000000000
540289,153359,8593833,"Lausanne, Gr?sy",Bus,642,5586,Lausanne,540289.000000000000000,153359.000000000000000
540366,160825,8592007,"Lausanne, Chalet-Marin",Bus,739,5586,Lausanne,540366.000000000000000,160825.000000000000000
538225,153863,8592082,"Lausanne, Motte",Bus,582,5586,Lausanne,538225.000000000000000,153863.000000000000000
501898,133665,8594263,"Chavannes-de-Bogis, poste",Bus,476,5707,Chavannes-de-Bogis,501898.000000000000000,133665.000000000000000
520325,150350,8570050,"Lavigny, crois?e de St-Livres",Bus,516,5637,Lavigny,520325.000000000000000,150350.000000000000000
504178,158555,8595463,"Le Brassus, Bas-du-Chenit",Bus,1050,5872,Le Chenit,504178.000000000000000,158555.000000000000000
567223,117648,8580651,"Lavey, Front Bastionn?",Bus,411,5406,Lavey-Morcles,567223.000000000000000,117648.000000000000000
538052,152903,8592125,"Lausanne, Valentin",Bus,517,5586,Lausanne,538052.000000000000000,152903.000000000000000
538831,154630,8592137,"Lausanne, Vivarium",Bus,647,5586,Lausanne,538831.000000000000000,154630.000000000000000
539380,153679,8592131,"Lausanne, Victor-Ruffy",Bus,604,5586,Lausanne,539380.000000000000000,153679.000000000000000
537035,153025,8592109,"Lausanne, Recordon",Bus,478,5586,Lausanne,537035.000000000000000,153025.000000000000000
536851,154197,8592087,"Lausanne, Parc Rivier",Bus,577,5586,Lausanne,536851.000000000000000,154197.000000000000000
567350,117374,8570668,"Lavey-les-Bains, place",Bus,419,5406,Lavey-Morcles,567350.000000000000000,117374.000000000000000
499419,130099,8588298,Chavannes-des-Bois,Bus,468,5708,Chavannes-des-Bois,499419.000000000000000,130099.000000000000000
518755,147499,8583527,"F?chy, En Burnens",Bus,425,5427,F?chy,518755.000000000000000,147499.000000000000000
547202,183520,8583791,"Yvonand, gare",Bus,434,5939,Yvonand,547202.000000000000000,183520.000000000000000
517789,148823,8570044,"F?chy, Cassivettes",Bus,549,5427,F?chy,517789.000000000000000,148823.000000000000000
569571,134079,8570626,"Cergnat, ?glise",Bus,1052,5410,Ormont-Dessous,569571.000000000000000,134079.000000000000000
529983,153243,8592249,"Lonay, Carouge",Bus,395,5638,Lonay,529983.000000000000000,153243.000000000000000
505336,137649,8579308,"Eysins, est",Bus,436,5716,Eysins,505336.000000000000000,137649.000000000000000
505124,137967,8595175,"Eysins, Petit-Eysins",Bus,443,5716,Eysins,505124.000000000000000,137967.000000000000000
531413,174806,8501190,Orbe-Industrie (marchandises),CheminFer,442,5757,Orbe,531413.000000000000000,174806.000000000000000
570870,134759,8570623,"Le S?pey, La Mosse",Bus,1125,5410,Ormont-Dessous,570870.000000000000000,134759.000000000000000
575967,146691,8570619,"Ch?teau-d'Oex, Le Petit-Pr?",Bus,930,5841,Ch?teau-d'Oex,575967.000000000000000,146691.000000000000000
515028,168516,8593532,"Le Pont, Les Foug?res",Bus,1010,5871,L'Abbaye,515028.000000000000000,168516.000000000000000
508018,148280,8570016,"Le Vaud, zoo",Bus,795,5731,Le Vaud,508018.000000000000000,148280.000000000000000
566695,122602,8570639,"Bex, rte d'Aigle",Bus,419,5402,Bex,566695.000000000000000,122602.000000000000000
536431,181173,8579303,"Chamblon, village-h?pital",Bus,520,5904,Chamblon,536431.000000000000000,181173.000000000000000
534075,181800,8570336,"Champvent, village",Bus,520,5905,Champvent,534075.000000000000000,181800.000000000000000
509600,163183,8501776,"Les Bioux, Les Charmilles",Bus,1020,5871,L'Abbaye,509600.000000000000000,163183.000000000000000
549925,174650,8570370,"Denezy, coll?ge",Bus,744,5693,Montanaire,549925.000000000000000,174650.000000000000000
524460,152366,8501278,"Denens, Cigognes",Bus,505,5631,Denens,524460.000000000000000,152366.000000000000000
526980,155414,8570100,"St-Saphorin-sur-Morges, village",Bus,529,5634,Echichens,526980.000000000000000,155414.000000000000000
526723,176132,8579100,"Les Cl?es-La Russille, crois?e",Bus,676,5750,Les Cl?es,526723.000000000000000,176132.000000000000000
544024,157996,8592117,"Lausanne, Ste-Catherine",Bus,851,5586,Lausanne,544024.000000000000000,157996.000000000000000
533425,173575,8570200,"Chavornay, gare",Bus,447,5749,Chavornay,533425.000000000000000,173575.000000000000000
577140,133830,8593773,Les Bovets,CheminFer,1156,5411,Ormont-Dessus,577140.000000000000000,133830.000000000000000
533267,153378,8593865,"Chavannes-p.-R., Champ-Fleuri",Bus,398,5627,Chavannes-pr?s-Renens,533267.000000000000000,153378.000000000000000
536025,159850,8570064,"Cheseaux-sur-Lausanne, P?quis",Bus,607,5582,Cheseaux-sur-Lausanne,536025.000000000000000,159850.000000000000000
558471,145017,8579205,"Chailly-Montreux, Bonnettes",Bus,501,5886,Montreux,558471.000000000000000,145017.000000000000000
557670,144699,8593914,"Chailly-Montreux, Poneyre",Bus,439,5886,Montreux,557670.000000000000000,144699.000000000000000
557493,143627,8593915,"Clarens, Basset",Bus,375,5886,Montreux,557493.000000000000000,143627.000000000000000
524200,152100,8570085,"Denens, Chatagny",Bus,504,5631,Denens,524200.000000000000000,152100.000000000000000
541650,164875,8570210,"Poliez-Pittet, Grands-Champs",Bus,710,5533,Poliez-Pittet,541650.000000000000000,164875.000000000000000
541502,165417,8570209,"Poliez-le-Grand, Bois-la-Croix",Bus,695,5540,Montilliez,541502.000000000000000,165417.000000000000000
546776,175569,8507660,"Chan?az, village",Bus,757,5693,Montanaire,546776.000000000000000,175569.000000000000000
557073,143679,8593919,"Clarens, St-Georges",Bus,382,5886,Montreux,557073.000000000000000,143679.000000000000000
533735,153276,8594986,"Chavannes-pr?s-Renens, Berges",Bus,395,5627,Chavannes-pr?s-Renens,533735.000000000000000,153276.000000000000000
567344,132437,8570630,"Leysin, place de la Tour d'A?",Bus,1258,5407,Leysin,567344.000000000000000,132437.000000000000000
567275,132590,8501330,"Leysin, place du March?",Bus,1290,5407,Leysin,567275.000000000000000,132590.000000000000000
568150,133815,8595103,"Leysin, Les Esserts-Fontaine",Bus,1351,5407,Leysin,568150.000000000000000,133815.000000000000000
538971,151206,8592193,"Pully, Pierraz-Portay",Bus,429,5590,Pully,538971.000000000000000,151206.000000000000000
566920,132685,8501974,"Leysin-Feydey, gare",Bus,1391,5407,Leysin,566920.000000000000000,132685.000000000000000
523520,176542,8579097,"Lignerolle, Le Daillard",Bus,796,5755,Lignerolle,523520.000000000000000,176542.000000000000000
508426,144852,8570027,"Begnins, Bois-du-Four",Bus,650,5704,Begnins,508426.000000000000000,144852.000000000000000
575975,130418,8501704,Col-de-la-Croix,Bus,1776,5409,Ollon,575975.000000000000000,130418.000000000000000
529592,152847,8595218,"Lonay, gare",Bus,382,5638,Lonay,529592.000000000000000,152847.000000000000000
545196,189812,8570281,"Concise, haut du village",Bus,491,5554,Concise,545196.000000000000000,189812.000000000000000
529472,153016,8595219,"Lonay, coll?ge nord",Bus,400,5638,Lonay,529472.000000000000000,153016.000000000000000
552826,179441,8570405,"Combremont-le-Grand, Le Garage",Bus,680,5831,Valbroye,552826.000000000000000,179441.000000000000000
529612,153000,8595220,"Lonay, coll?ge sud",Bus,393,5638,Lonay,529612.000000000000000,153000.000000000000000
529895,162031,8570129,"Cossonay-Penthalaz, gare",Bus,428,5495,Penthalaz,529895.000000000000000,162031.000000000000000
555898,148047,8579168,"Fenil-sur-Corsier, Pont",Bus,544,5884,Corsier-sur-Vevey,555898.000000000000000,148047.000000000000000
537800,186550,8507677,"Fiez, village",Bus,523,5556,Fiez,537800.000000000000000,186550.000000000000000
527009,167875,8504651,"Ferreyres, village",Bus,566,5483,Ferreyres,527009.000000000000000,167875.000000000000000
542922,151208,8592153,"Lutry, Gravesse",Bus,492,5606,Lutry,542922.000000000000000,151208.000000000000000
542825,150935,8592162,"Lutry, Savuit-place",Bus,464,5606,Lutry,542825.000000000000000,150935.000000000000000
542253,150541,8592164,"Lutry, Voisinand",Bus,387,5606,Lutry,542253.000000000000000,150541.000000000000000
541788,151646,8592149,"Lutry, Corsy-Dessous",Bus,530,5606,Lutry,541788.000000000000000,151646.000000000000000
543124,151589,8592146,"Lutry, Br?laz",Bus,558,5606,Lutry,543124.000000000000000,151589.000000000000000
524288,150792,8595221,"Lussy-sur-Morges, Riettaz",Bus,450,5640,Lussy-sur-Morges,524288.000000000000000,150792.000000000000000
542553,150550,8593861,"Lutry, gare",Bus,402,5606,Lutry,542553.000000000000000,150550.000000000000000
542263,151785,8592152,"Lutry, Corsy-Dessus",Bus,572,5606,Lutry,542263.000000000000000,151785.000000000000000
543401,151913,8592161,"Lutry, Savoie",Bus,611,5606,Lutry,543401.000000000000000,151913.000000000000000
542037,150911,8592158,"Lutry, Orzens",Bus,420,5606,Lutry,542037.000000000000000,150911.000000000000000
546425,169350,8570350,"Chapelle-sur-Moudon, Mulles",Bus,778,5693,Montanaire,546425.000000000000000,169350.000000000000000
541843,150593,8592150,"Lutry, Grand-Pont",Bus,376,5606,Lutry,541843.000000000000000,150593.000000000000000
541723,151319,8592151,"Lutry, Colline",Bus,482,5606,Lutry,541723.000000000000000,151319.000000000000000
542172,151540,8592157,"Lutry, Marionnettes",Bus,533,5606,Lutry,542172.000000000000000,151540.000000000000000
542411,150683,8592148,"Lutry, Ciblerie",Bus,409,5606,Lutry,542411.000000000000000,150683.000000000000000
542307,151202,8593862,"Lutry, Mourat",Bus,458,5606,Lutry,542307.000000000000000,151202.000000000000000
543380,152174,8588438,"Lutry, Echerins",Bus,639,5606,Lutry,543380.000000000000000,152174.000000000000000
567105,132710,8595110,"Leysin,Ecole ski-Central R?sid",Bus,1368,5407,Leysin,567105.000000000000000,132710.000000000000000
548831,160321,8595474,"M?zi?res VD, centre m?dical",Bus,740,5791,M?zi?res (VD),548831.000000000000000,160321.000000000000000
536920,153535,8592032,"Lausanne, Dranse",Bus,521,5586,Lausanne,536920.000000000000000,153535.000000000000000
537931,181442,8594029,"Yverdon, rue de Bullet",Bus,433,5938,Yverdon-les-Bains,537931.000000000000000,181442.000000000000000
540109,153222,8593836,"Lausanne, La Cure",Bus,620,5586,Lausanne,540109.000000000000000,153222.000000000000000
540137,152649,8592023,"Lausanne, Coudrette",Bus,569,5586,Lausanne,540137.000000000000000,152649.000000000000000
546750,162525,8570432,"Corcelles-le-Jt, Champ-la-Dame",Bus,769,5785,Corcelles-le-Jorat,546750.000000000000000,162525.000000000000000
556217,144321,8593972,"La Tour-de-Peilz, rte Chailly",Bus,383,5889,La Tour-de-Peilz,556217.000000000000000,144321.000000000000000
548788,160758,8504758,"M?zi?res VD, village",Bus,742,5791,M?zi?res (VD),548788.000000000000000,160758.000000000000000
508509,149366,8501854,"Marchissy, village",Bus,825,5430,Marchissy,508509.000000000000000,149366.000000000000000
540052,179080,8570303,"Pomy, crois?e de Sermuz",Bus,493,5926,Pomy,540052.000000000000000,179080.000000000000000
546649,161925,8570431,"Corcelles-le-Jorat, village",Bus,779,5785,Corcelles-le-Jorat,546649.000000000000000,161925.000000000000000
569403,192101,8579799,"Avenches, Coll?ge Sous-Ville",Bus,455,5451,Avenches,569403.000000000000000,192101.000000000000000
533339,179946,8507686,"Mathod, Bras d'Or",Bus,444,5919,Mathod,533339.000000000000000,179946.000000000000000
555582,148578,8504961,"Corsier-sur-Vevey, La Chaux",Bus,708,5884,Corsier-sur-Vevey,555582.000000000000000,148578.000000000000000
506249,137409,8593876,"Nyon, ch. Valmont",Bus,419,5724,Nyon,506249.000000000000000,137409.000000000000000
501500,133180,8595239,"Chavannes-de-Bogis,La Sallivaz",Bus,473,5707,Chavannes-de-Bogis,501500.000000000000000,133180.000000000000000
540045,189407,8507680,"Fontanezier, bas du village",Bus,817,5571,T?venon,540045.000000000000000,189407.000000000000000
552722,146785,8579152,"Corseaux, Mara?che",Bus,413,5883,Corseaux,552722.000000000000000,146785.000000000000000
564455,192423,8577643,"Missy, nord",Bus,453,5821,Missy,564455.000000000000000,192423.000000000000000
516650,157700,8570116,"Mollens VD, Les Chaux",Bus,739,5431,Mollens (VD),516650.000000000000000,157700.000000000000000
515504,148740,8501873,"Mont-sur-Rolle, Les Granges",Bus,714,5859,Mont-sur-Rolle,515504.000000000000000,148740.000000000000000
